,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Alaa Abdelnaby,1991,1995,F-C,6-10,240,"June 24, 1968",Duke
1,Zaid Abdul-Aziz,1969,1978,C-F,6-9,235,"April 7, 1946",Iowa State
2,Kareem Abdul-Jabbar*,1970,1989,C,7-2,225,"April 16, 1947",UCLA
3,Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,"March 9, 1969",LSU
4,Tariq Abdul-Wahad,1998,2003,F,6-6,223,"November 3, 1974","Michigan, San Jose State"
5,Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976",California
6,Tom Abernethy,1977,1981,F,6-7,220,"May 6, 1954",Indiana
7,Forest Able,1957,1957,G,6-3,180,"July 27, 1932",Western Kentucky
8,John Abramovic,1947,1948,F,6-3,195,"February 9, 1919",Salem University
9,Álex Abrines,2017,2019,G-F,6-6,200,"August 1, 1993",
10,Precious Achiuwa,2021,2022,F,6-8,225,"September 19, 1999",Memphis
11,Alex Acker,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine
12,Don Ackerman,1954,1954,G,6-0,183,"September 4, 1930",Long Island University
13,Mark Acres,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts
14,Bud Acton,1968,1968,F,6-6,210,"January 11, 1942",Hillsdale College
15,Quincy Acy,2013,2019,F-C,6-7,240,"October 6, 1990",Baylor
16,Alvan Adams,1976,1988,C-F,6-9,210,"July 19, 1954",Oklahoma
17,Don Adams,1971,1977,F,6-6,210,"November 27, 1947",Northwestern
18,George Adams,1973,1975,F-G,6-5,210,"May 15, 1949",Gardner-Webb University
19,Hassan Adams,2007,2009,G,6-4,220,"June 20, 1984",Arizona
20,Jaylen Adams,2019,2021,G,6-0,225,"May 4, 1996",St. Bonaventure
21,Jordan Adams,2015,2016,G,6-5,209,"July 8, 1994",UCLA
22,Michael Adams,1986,1996,G,5-10,162,"January 19, 1963",Boston College
23,Steven Adams,2014,2022,C,6-11,265,"July 20, 1993",Pitt
24,Rafael Addison,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse
25,Bam Adebayo,2018,2022,C-F,6-9,255,"July 18, 1997",Kentucky
26,Deng Adel,2019,2019,F,6-7,200,"February 1, 1997",Louisville
27,Rick Adelman*,1969,1975,G,6-1,175,"June 16, 1946",Loyola Marymount
28,Jeff Adrien,2011,2015,F,6-7,245,"February 10, 1986",UConn
29,Arron Afflalo,2008,2018,G-F,6-5,210,"October 15, 1985",UCLA
30,Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984",Michigan State
31,Mark Aguirre,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul
32,Blake Ahearn,2008,2012,G,6-2,190,"May 27, 1984",Missouri State
33,Danny Ainge,1982,1995,G,6-4,175,"March 17, 1959",BYU
34,Matthew Aitch,1968,1968,F,6-7,230,"September 21, 1944",Michigan State
35,Alexis Ajinça,2009,2017,C-F,7-2,248,"May 6, 1988",
36,Henry Akin,1967,1969,C-F,6-10,225,"July 31, 1944",Morehead State University
37,Josh Akognon,2013,2013,G,5-11,185,"February 10, 1986","Washington State, Cal State Fullerton"
38,DeVaughn Akoon-Purcell,2019,2019,G,6-6,200,"June 5, 1993",Illinois State
39,Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988",Florida State
40,Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963",Duke
41,Gary Alcorn,1960,1961,C,6-9,225,"October 8, 1936",Fresno State
42,Santi Aldama,2022,2022,F,6-11,224,"January 10, 2001",Loyola (MD)
43,Furkan Aldemir,2015,2015,F-C,6-10,240,"August 9, 1991",
44,Cole Aldrich,2011,2018,C,6-11,250,"October 31, 1988",Kansas
45,LaMarcus Aldridge,2007,2022,F-C,6-11,250,"July 19, 1985",Texas
46,Chuck Aleksinas,1985,1985,C,6-11,260,"February 26, 1959","Kentucky, UConn"
47,Cliff Alexander,2016,2016,F,6-8,245,"November 16, 1995",Kansas
48,Cory Alexander,1996,2005,G,6-1,185,"June 22, 1973",Virginia
49,Courtney Alexander,2001,2003,G,6-5,205,"April 27, 1977","Virginia, Fresno State"
50,Gary Alexander,1994,1994,F,6-7,240,"November 1, 1969",South Florida
51,Joe Alexander,2009,2010,F,6-8,230,"December 26, 1986",West Virginia
52,Kyle Alexander,2020,2020,F,6-11,220,"October 21, 1996",Tennessee
53,Ty-Shon Alexander,2021,2021,G,6-3,195,"July 16, 1998",Creighton
54,Victor Alexander,1992,2002,C-F,6-9,265,"August 31, 1969",Iowa State
55,Nickeil Alexander-Walker,2020,2022,G,6-6,205,"September 2, 1998",Virginia Tech
56,Steve Alford,1988,1991,G,6-2,183,"November 23, 1964",Indiana
57,Rawle Alkins,2019,2019,G,6-5,225,"October 29, 1997",Arizona
58,Bill Allen,1968,1968,C-F,6-8,205,,New Mexico State
59,Bob Allen,1969,1969,F,6-9,205,"July 17, 1946",Marshall
60,Grayson Allen,2019,2022,G,6-4,198,"October 8, 1995",Duke
61,Jarrett Allen,2018,2022,C-F,6-11,243,"April 21, 1998",Texas
62,Jerome Allen,1996,1997,G,6-4,184,"January 28, 1973",Penn
63,Kadeem Allen,2018,2020,G,6-1,200,"January 15, 1993",Arizona
64,Lavoy Allen,2012,2017,F-C,6-9,260,"February 4, 1989",Temple
65,Lucius Allen,1970,1979,G,6-2,175,"September 26, 1947",UCLA
66,Malik Allen,2002,2011,F-C,6-10,255,"June 27, 1978",Villanova
67,Randy Allen,1989,1990,F,6-8,220,"January 26, 1965",Florida State
68,Ray Allen*,1997,2014,G,6-5,205,"July 20, 1975",UConn
69,Tony Allen,2005,2018,G-F,6-4,213,"January 11, 1982","Butler County Community College, Oklahoma State"
70,Willie Allen,1972,1972,F,6-6,230,"February 8, 1949",Miami (FL)
71,Odis Allison,1972,1972,F,6-6,195,"October 2, 1949",UNLV
72,Lance Allred,2008,2008,C,6-11,250,"February 2, 1981","Utah, Weber State"
73,Darrell Allums,1981,1981,F,6-9,220,"September 12, 1958",UCLA
74,Morris Almond,2008,2012,G,6-6,225,"February 2, 1985",Rice University
75,Derrick Alston,1995,1997,F,6-11,225,"August 20, 1972",Duquesne
76,Rafer Alston,2000,2010,G,6-2,171,"July 24, 1976",Fresno State
77,Peter Aluma,1999,1999,C,6-10,260,"April 23, 1973",Liberty
78,Jose Alvarado,2022,2022,G,6-0,179,"April 12, 1998",Georgia Tech
79,John Amaechi,1996,2003,C-F,6-10,270,"November 26, 1970","Vanderbilt, Penn State"
80,Ashraf Amaya,1996,1997,F,6-8,230,"November 23, 1971",Southern Illinois
81,Al-Farouq Aminu,2011,2021,F,6-8,220,"September 21, 1990",Wake Forest
82,Lou Amundson,2007,2016,F-C,6-9,220,"December 7, 1982",UNLV
83,Bob Anderegg,1960,1960,F-G,6-3,200,"August 24, 1937",Michigan State
84,Chris Andersen,2002,2017,C-F,6-10,245,"July 7, 1978",Blinn College
85,David Andersen,2010,2011,C,6-11,245,"June 23, 1980",
86,Alan Anderson,2006,2017,G-F,6-6,220,"October 16, 1982",Michigan State
87,Andrew Anderson,1968,1970,G,6-2,184,"July 6, 1945",Canisius
88,Antonio Anderson,2010,2010,G,6-6,215,"June 5, 1985",Memphis
89,Cliff Anderson,1968,1971,G-F,6-2,200,"September 7, 1944",Saint Joseph's
90,Dan Anderson,1968,1969,C,6-10,230,"February 15, 1943",Augsburg College
91,Dan Anderson,1975,1976,G,6-2,185,"January 1, 1951",USC
92,Derek Anderson,1998,2008,G,6-5,194,"July 18, 1974","Ohio State, Kentucky"
93,Dwight Anderson,1983,1983,G,6-3,185,"December 28, 1960","Kentucky, USC"
94,Eric Anderson,1993,1994,F,6-9,220,"May 26, 1970",Indiana
95,Greg Anderson,1988,1998,F-C,6-10,230,"June 22, 1964",Houston
96,J.J. Anderson,1983,1985,F,6-8,195,"September 23, 1960",Bradley
97,James Anderson,2011,2016,G-F,6-6,213,"March 25, 1989",Oklahoma State
98,Jerome Anderson,1976,1977,G,6-5,195,"October 9, 1953",West Virginia
99,Justin Anderson,2016,2022,G,6-6,230,"November 19, 1993",Virginia
100,Kenny Anderson,1992,2005,G,6-0,168,"October 9, 1970",Georgia Tech
101,Kim Anderson,1979,1979,F,6-7,200,"May 12, 1955",Missouri
102,Kyle Anderson,2015,2022,F-G,6-9,230,"September 20, 1993",UCLA
103,Michael Anderson,1989,1989,G,5-11,184,"March 23, 1966",Drexel
104,Nick Anderson,1990,2002,F-G,6-6,205,"January 20, 1968",Illinois
105,Richard Anderson,1983,1990,F-C,6-10,240,"November 19, 1960",UC Santa Barbara
106,Ron Anderson,1985,1994,F-G,6-7,215,"October 15, 1958",Fresno State
107,Ryan Anderson,2009,2020,F,6-9,240,"May 6, 1988",California
108,Shandon Anderson,1997,2006,F-G,6-6,208,"December 31, 1973",Georgia
109,Willie Anderson,1989,1997,G-F,6-7,190,"January 8, 1967",Georgia
110,Wally Anderzunas,1970,1970,C-F,6-7,220,"January 11, 1946",Creighton
111,Martynas Andriuškevičius,2006,2006,C,7-2,240,"March 12, 1986",
112,Don Anielak,1955,1955,F,6-7,190,"November 1, 1930",Missouri State
113,Ike Anigbogu,2018,2019,F-C,6-10,250,"October 17, 1998",UCLA
114,Michael Ansley,1990,1992,F,6-7,225,"February 8, 1967",Alabama
115,Chris Anstey,1998,2000,C,7-0,249,"January 1, 1975",
116,Giannis Antetokounmpo,2014,2022,F-G,6-11,242,"December 6, 1994",
117,Kostas Antetokounmpo,2019,2021,F,6-10,200,"November 20, 1997",Dayton
118,Thanasis Antetokounmpo,2016,2022,F,6-6,219,"July 18, 1992",
119,Carmelo Anthony,2004,2022,F,6-7,238,"May 29, 1984",Syracuse
120,Cole Anthony,2021,2022,G,6-2,185,"May 15, 2000",UNC
121,Greg Anthony,1992,2002,G,6-0,176,"November 15, 1967","University of Portland, UNLV"
122,Joel Anthony,2008,2017,C,6-9,245,"August 9, 1982",UNLV
123,Pero Antić,2014,2015,C-F,6-11,260,"July 29, 1982",
124,OG Anunoby,2018,2022,F,6-7,232,"July 17, 1997",Indiana
125,Keith Appling,2016,2016,G,6-1,185,"February 13, 1992",Michigan State
126,Rafael Araújo,2005,2007,C,6-11,280,"August 12, 1980",BYU
127,Stacey Arceneaux,1962,1962,F,6-4,210,"February 17, 1936",Iowa State
128,Robert Archibald,2003,2004,F,6-11,250,"March 29, 1980",Illinois
129,Tiny Archibald*,1971,1984,G,6-1,150,"September 2, 1948",Texas-El Paso
130,Ryan Arcidiacono,2018,2022,G,6-3,195,"March 26, 1994",Villanova
131,Jim Ard,1971,1978,F-C,6-8,215,"September 19, 1948",Cincinnati
132,Gilbert Arenas,2002,2012,G,6-4,191,"January 6, 1982",Arizona
133,Trevor Ariza,2005,2022,F,6-8,215,"June 30, 1985",UCLA
134,Paul Arizin*,1951,1962,F-G,6-4,190,"April 9, 1928",Villanova
135,Joe Arlauckas,1988,1988,F,6-9,230,"July 20, 1965",Niagara University
136,B.J. Armstrong,1990,2000,G,6-2,175,"September 9, 1967",Iowa
137,Bob Armstrong,1957,1957,C-F,6-8,220,"June 17, 1933",Michigan State
138,Brandon Armstrong,2002,2004,G,6-5,188,"June 16, 1980",Pepperdine
139,Curly Armstrong,1949,1951,G-F,5-11,170,"November 1, 1918",Indiana
140,Darrell Armstrong,1995,2008,G,6-0,170,"June 22, 1968",Fayetteville State University
141,Hilton Armstrong,2007,2014,F-C,6-11,235,"November 11, 1984",UConn
142,Tate Armstrong,1978,1979,G,6-3,175,"October 5, 1955",Duke
143,Jesse Arnelle,1956,1956,F,6-5,220,"December 30, 1933",Penn State
144,Jay Arnette,1964,1966,G,6-2,175,"December 19, 1938",Texas
145,Bob Arnzen,1970,1974,F,6-5,205,"November 3, 1947",Notre Dame
146,Carlos Arroyo,2002,2011,G,6-2,202,"July 30, 1979",Florida International University
147,Darrell Arthur,2009,2018,F,6-9,235,"March 25, 1988",Kansas
148,John Arthurs,1970,1970,G,6-4,185,"August 15, 1947",Tulane
149,Jamel Artis,2018,2018,G-F,6-7,213,"January 12, 1993",Pitt
150,Ömer Aşık,2011,2018,C,7-0,255,"July 4, 1986",
